SCIENTIFIC_NAME	DISTRIBUTION
Acacia concurrens	N NSW to SEQ
Acacia disparrima subsp. disparrima	QLD - N NSW
Acacia fimbriata	SEQ to NSW
Acacia harpophylla	C QLD - C NSW
Acacia leiocalyx	NSW to QLD
Acacia maidenii	SE QLD - NSW
Acacia maidenii	VIC
Acacia podalyriifolia	Central E QLD to NE NSW
Acmena ingens	SE QLD – NE NSW
Acronychia oblongifolia	E Australia
Acronychia oblongifolia	QLD to VIC
Acronychia pauciflora	NE NSW to QLD
Acronychia wilcoxiana	SEQ - SE NSW
Aegiceras corniculatum	India
Aegiceras corniculatum	SE Asia to S China
Aegiceras corniculatum	 New Guinea and Australia
Agathis atropurpurea	NE QLD
Agathis microstachya	NE QLD
Agathis robusta	NE and SE QLD
Akania bidwillii	QLD
Akania bidwillii	NSW
Albizia lebbeck	N Australia SE Asia
Albizia lebbeck	E Africa
Alectryon connatus	E QLD
Alectryon connatus	New Guinea
Alectryon coriaceus	NSW to QLD
Alectryon subcinereus	SE QLD - E VIC
Alectryon tomentosus	NE QLD - E NSW
Allocasuarina torulosa	NE QLD - S NSW
Alphitonia excelsa	N WA
Alphitonia excelsa	NT
Alphitonia excelsa	QLD
Alphitonia excelsa	E NSW
Alstonia constricta	QLD
Alstonia constricta	N NSW
Alstonia scholaris	E QLD
Alstonia scholaris	NG
Alstonia scholaris	MAL
Alstonia scholaris	AS
Angophora floribunda	E Australia
Angophora subvelutina	SE QLD - NSW
Anthocarapa nitidula	CYP to NE NSW Malesia
Anthocarapa nitidula	the Solomon Islands
Anthocarapa nitidula	Vanuatu
Anthocarapa nitidula	New Caledonia
Aphananthe philippinensis	E Australia
Aphananthe philippinensis	Malesia
Aphananthe philippinensis	Solomon Islands
Araucaria bidwillii	NE QLD
Araucaria bidwillii	SE QLD
Araucaria cunninghamii var. cunninghamii	Central E NSW
Araucaria cunninghamii var. cunninghamii	E QLD
Araucaria cunninghamii var. cunninghamii	New Guinea
Argyrodendron actinophyllum subsp. actinophyllum	SEQ - NSW
Argyrodendron actinophyllum subsp. diversifolium	NE QLD
Argyrodendron actinophyllum subsp. diversifolium	CE QLD
Argyrodendron perlatum	NE QLD
Argyrodendron polyandrum	NE QLD
