SCIENTIFIC_NAME	FAMILY	CONSERVATION_ACT_1992	EPBC_ACT_1999	AUSTRALIAN	PERCENTAGE	HABITAT	SPECIES_PROFILE							
Acacia concurrens	Mimosaceae	Least concern	Not listed	Yes	0.79	Coastal areas eucalypt forest and woodland	"Acacia concurrens, commonly known as Black wattle or Curracabah, is a tall shrub endemic to eastern Australia, growing to a height of up to 10m. The botanic name concurrens describes the converging primary veins on the phyllodes (modified leaf stems which function as leaf). Bright yellow rod-shaped flowers are seen from late winter to early spring."							
Acacia disparrima subsp. disparrima	Mimosaceae	Least concern	Not listed	Yes	1.76	"Open forest and woodlands margins of sub-tropical, closed forest types and along disturbed roadsides."	"Hickory wattle, Acacia disparrima is a tall shrub endemic to coastal and near-coastal areas of eastern Australia. Growing to a height of up to 12 m this shrub establishes rapidly making is popular is rehabilitation projects.  It is commonly associated with open forests, woodlands, the margins of sub-tropical, closed forest types and along disturbed roadsides. This shrub forms pale yellow, to lemon yellow sweetly scented flower spikes from January to May followed by woody seed pods. "							
Acacia fimbriata	Mimosaceae	Least concern	Not listed	Yes	0.35	Open forest	"Acacia fimbriata, Brisbane golden wattle is tall shrub endemic to eastern Australia, growing to a height of up to 7m. It is also referred to as the Fringed wattle because of the microscopic hairs along the phyllodes (modified leaf stems)."							
Acacia harpophylla	Mimosaceae	Least concern	Not listed	Yes	0.26	open woodlands on flat and gently undulating terrain on heavy and relatively fertile clay and clay-loam soils	"Brigalow, Acacia harpophylla is a small to medium-sixed tree (12-20 m) which once covered an extensive area of eastern Australia.  The brigalow community has been extensively cleared for cropping, mainly wheat production. This species of wattle is best known for its ability to regrow from root suckers. If the trunk it cut or burnt to the ground this species can regenerate rapidly from the base."							
Acacia leiocalyx	Mimosaceae	Least concern	Not listed	Yes	0.09	Open forest and woodlands	"Black wattle, is a widespread shrub endemic to eastern Australia, growing to a height of up to 6m.  The short-lived wattle is closely related to a number of other identified by its smooth, sharply angular, red-brown branches. Black wattle is used as a food for livestock in times of drought. "							
Acacia maidenii	Mimosaceae	Least concern	Not listed	Yes	0.88	Dry Eucalypt Forest and Rainforest margin	Maiden's Wattle is a tall shrub endemic to eastern Australia from Queensland to Victoria.  This fast-growing shrub can grow at a rate of 1m per year and live for more than 30 years. An attractive ornamental tree commonly growing as a street tree Maiden’s Wattle produces pale yellow flowers up to 6 cm long in clusters of two and three.							
Acacia podalyriifolia	Mimosaceae	Least concern	Not listed	Yes	0.09	Open forest and woodland	"Queensland silver wattle, Acacia podalyriifolia is a tall shrub endemic to QLD and north-east NSW, growing to a height of up to 6m.  Widely cultivated as an ornamental tree this shrub has naturalised  in Malaysia, Africa, India and South America where it is considered as an environmental weed.  "							
Acmena ingens	Myrtaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Red apple, Syzygium ingens is a medium-to-large rainforest tree endemic to SEQ and northern NSW. The dark red fruit makes it a popular tree for attracting birds and other fruit-eating wildlife, and when ripe is also known to be edible (but sour)."							
Acronychia oblongifolia	Rutaceae	Least concern	Not listed	Yes	0.09	Rainforest and rainforest margin	"White aspen, Acronychia oblongifolia is a rainforest tree which grows naturally along the coast line of eastern Australia. Small white flowers appear from Summer to early Autumn followed by edible yellow fruits which taste like lemon rind. "							
Acronychia pauciflora	"Rutaceae	"	Least concern	Not listed	Yes	0.09	Dry and subtropical rainforest	"Soft acronychia is a shrub to small tree reaching 10 m high. Occurring from New South Wales to Queensland soft acronchia grows in subtropical rainforest, dry rainforest, wine thickest and Brigalow scrub. New growth is red to blackish and leaves are aromatic when crushed. "							
